Encuesta de Satisfacción y Compromiso de Colaboradores

Q1. ¿Cuál es su función en el trabajo?
Q10. Me siento totalmente comprometido(a) con mi trabajo.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,1.54%,2
En desacuerdo,0.0%,0
Neutral/Ni de acuerdo ni en desacuerdo,4.62%,6
De acuerdo,44.62%,58
Totalmente de acuerdo,49.23%,64
,Answered,130
,Skipped,19


Q11. Me encanta ir a trabajar.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.78%,1
En desacuerdo,0.0%,0
Neutral/Ni de acuerdo ni en desacuerdo,23.26%,30
De acuerdo,39.53%,51
Totalmente de acuerdo,36.43%,47
,Answered,129
,Skipped,20


"Q12. Con frecuencia, me gusta tanto mi trabajo que el día se pasa muy rápido."
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.77%,1
En desacuerdo,3.08%,4
Neutral/Ni de acuerdo ni en desacuerdo,23.85%,31
De acuerdo,40.77%,53
Totalmente de acuerdo,31.54%,41
,Answered,130
,Skipped,19


Q13. Estoy decidido(a) a esforzarme en el trabajo de cada día.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.77%,1
En desacuerdo,0.0%,0
Neutral/Ni de acuerdo ni en desacuerdo,4.62%,6
De acuerdo,50.77%,66
Totalmente de acuerdo,43.85%,57
,Answered,130
,Skipped,19


"Q14. Cuando estoy en el trabajo, me concentro por completo en mis obligaciones."
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,1.54%,2
En desacuerdo,0.77%,1
Neutral/Ni de acuerdo ni en desacuerdo,11.54%,15
De acuerdo,50.77%,66
Absolutamente de acuerdo,35.38%,46
,Answered,130
,Skipped,19


"Q15. En mi organización, los empleados se adaptan con rapidez a las situaciones difíciles."
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.08%,4
En desacuerdo,16.92%,22
Neutral/Ni de acuerdo ni en desacuerdo,39.23%,51
De acuerdo,33.85%,44
Totalmente de acuerdo,6.92%,9
,Answered,130
,Skipped,19


Q16. Los empleados siguen adelante cuando las cosas se complican.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,2.31%,3
En desacuerdo,6.15%,8
Neutral/Ni de acuerdo ni en desacuerdo,31.54%,41
De acuerdo,49.23%,64
Totalmente de acuerdo,10.77%,14
,Answered,130
,Skipped,19


Q17. Los empleados identifican proactivamente nuevos retos y oportunidades.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.08%,4
En desacuerdo,10.0%,13
Neutral/Ni de acuerdo ni en desacuerdo,40.77%,53
De acuerdo,41.54%,54
Totalmente de acuerdo,4.62%,6
,Answered,130
,Skipped,19


Q18. Los empleados de mi organización toman la iniciativa para ayudar a otros empleados cuando surge la necesidad.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.85%,5
En desacuerdo,13.85%,18
Neutral/Ni de acuerdo ni en desacuerdo,33.08%,43
De acuerdo,33.85%,44
Totalmente de acuerdo,15.38%,20
,Answered,130
,Skipped,19


"Q19. Los empleados se muestran predispuestos a incorporar nuevas tareas, según sea necesario."
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,2.33%,3
En desacuerdo,13.95%,18
Neutral/Ni de acuerdo ni en desacuerdo,39.53%,51
De acuerdo,35.66%,46
Totalmente de acuerdo,8.53%,11
,Answered,129
,Skipped,20


Q20. Los empleados de mi organización aceptan los desafíos con gusto.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.08%,4
En desacuerdo,13.08%,17
Neutral/Ni de acuerdo ni en desacuerdo,43.08%,56
De acuerdo,30.77%,40
Totalmente de acuerdo,10.0%,13
,Answered,130
,Skipped,19


Q21. Estoy satisfecho(a) con mi remuneración en general.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,7.94%,10
En desacuerdo,27.78%,35
Neutral/Ni de acuerdo ni en desacuerdo,38.1%,48
De acuerdo,24.6%,31
Totalmente de acuerdo,1.59%,2
,Answered,126
,Skipped,23


Q22. Mi remuneración es acorde al mercado local.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,11.2%,14
En desacuerdo,28.0%,35
Neutral/Ni de acuerdo ni en desacuerdo,35.2%,44
De acuerdo,23.2%,29
Totalmente de acuerdo,2.4%,3
,Answered,125
,Skipped,24


Q23. Hay una buena comunicación entre los altos directivos y los empleados de mi organización.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.23%,4
En desacuerdo,9.68%,12
Neutral/Ni de acuerdo ni en desacuerdo,36.29%,45
De acuerdo,41.13%,51
Totalmente de acuerdo,9.68%,12
,Answered,124
,Skipped,25


Q24. Puedo tomar decisiones relacionadas con mi trabajo.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.81%,1
En desacuerdo,3.23%,4
Neutral/Ni de acuerdo ni en desacuerdo,19.35%,24
De acuerdo,57.26%,71
Totalmente de acuerdo,19.35%,24
,Answered,124
,Skipped,25


Q25. La gerencia de mi organización reconoce el esforzado desempeño laboral.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,4.03%,5
En desacuerdo,7.26%,9
Neutral/Ni de acuerdo ni en desacuerdo,38.71%,48
De acuerdo,39.52%,49
Totalmente de acuerdo,10.48%,13
,Answered,124
,Skipped,25


Q26. Tengo una buena relación laboral con mi supervisor.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.81%,1
En desacuerdo,1.61%,2
Neutral/Ni de acuerdo ni en desacuerdo,9.68%,12
De acuerdo,40.32%,50
Totalmente de acuerdo,47.58%,59
,Answered,124
,Skipped,25


Q27. Tengo una buena relación laboral con mis compañeros de trabajo.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.81%,1
En desacuerdo,0.0%,0
Neutral/Ni de acuerdo ni en desacuerdo,5.65%,7
De acuerdo,44.35%,55
Totalmente de acuerdo,49.19%,61
,Answered,124
,Skipped,25


Q28. Los altos directivos gerenciales y los empleados se tienen confianza mutua.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.23%,4
En desacuerdo,7.26%,9
Neutral/Ni de acuerdo ni en desacuerdo,49.19%,61
De acuerdo,33.06%,41
Totalmente de acuerdo,7.26%,9
,Answered,124
,Skipped,25


Q29. Los compañeros de trabajo se tratan con respeto.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.81%,1
En desacuerdo,2.42%,3
Neutral/Ni de acuerdo ni en desacuerdo,19.35%,24
De acuerdo,57.26%,71
Totalmente de acuerdo,20.16%,25
,Answered,124
,Skipped,25


Q30. Estoy satisfecho(a) con el conjunto de beneficios.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,1.65%,2
En desacuerdo,11.57%,14
Neutral/Ni de acuerdo ni en desacuerdo,47.93%,58
De acuerdo,31.4%,38
Totalmente de acuerdo,7.44%,9
,Answered,121
,Skipped,28


Q31. Estoy satisfecho(a) con los beneficios relacionados con la atención de la salud y póliza de vida que me brinda mi organización.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,2.46%,3
En desacuerdo,6.56%,8
Neutral/Ni de acuerdo ni en desacuerdo,27.05%,33
De acuerdo,50.0%,61
Totalmente de acuerdo,13.93%,17
,Answered,122
,Skipped,27


Q32. Estoy satisfecho(a) con la cantidad de vacaciones pagadas ofrecidas por mi organización.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,3.31%,4
En desacuerdo,5.79%,7
Neutral/Ni de acuerdo ni en desacuerdo,36.36%,44
De acuerdo,42.15%,51
Totalmente de acuerdo,12.4%,15
,Answered,121
,Skipped,28


Q33. Estoy satisfecho(a) con la flexibilidad laboral ofrecida por mi organización.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,2.46%,3
En desacuerdo,3.28%,4
Neutral/Ni de acuerdo ni en desacuerdo,22.95%,28
De acuerdo,53.28%,65
Totalmente de acuerdo,18.03%,22
,Answered,122
,Skipped,27


Q34. Mi organización ofrece un entorno laboral seguro.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.0%,0
En desacuerdo,2.44%,3
Neutral/Ni de acuerdo ni en desacuerdo,16.26%,20
De acuerdo,60.16%,74
Totalmente de acuerdo,21.14%,26
,Answered,123
,Skipped,26


Q35. Estoy satisfecho(a) con la seguridad laboral en general.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.0%,0
En desacuerdo,4.1%,5
Neutral/Ni de acuerdo ni en desacuerdo,15.57%,19
De acuerdo,60.66%,74
Totalmente de acuerdo,19.67%,24
,Answered,122
,Skipped,27


Q36. El trabajo de mi organización afecta en forma positiva la vida de las personas.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.0%,0
En desacuerdo,5.69%,7
Neutral/Ni de acuerdo ni en desacuerdo,32.52%,40
De acuerdo,51.22%,63
Totalmente de acuerdo,10.57%,13
,Answered,123
,Skipped,26


Q37. Mi organización opera en forma responsable a nivel social.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.0%,0
En desacuerdo,0.81%,1
Neutral/Ni de acuerdo ni en desacuerdo,29.27%,36
De acuerdo,52.85%,65
Totalmente de acuerdo,17.07%,21
,Answered,123
,Skipped,26


Q38. Mi organización es económicamente estable.
Answer Choices,Response Percent,Responses
Totalmente en desacuerdo,0.82%,1
En desacuerdo,0.0%,0
Neutral/Ni de acuerdo ni en desacuerdo,25.41%,31
De acuerdo,54.1%,66
Totalmente de acuerdo,19.67%,24
,Answered,122
,Skipped,27


Q39. Estoy satisfecho/a con la cultura de mi lugar de trabajo.
Answer Choices,Response Percent,Responses
Totalmente de acuerdo,6.5%,8
De acuerdo,38.21%,47
Ni de acuerdo ni en desacuerdo,22.76%,28
En desacuerdo,21.95%,27
Totalmente en desacuerdo,10.57%,13
,Answered,123
,Skipped,26


Q40. Entiendo cómo mi trabajo afecta los objetivos de negocio de la organización.
Answer Choices,Response Percent,Responses
Totalmente de acuerdo,19.01%,23
De acuerdo,37.19%,45
Ni de acuerdo ni en desacuerdo,13.22%,16
En desacuerdo,19.83%,24
Totalmente en desacuerdo,10.74%,13
,Answered,121
,Skipped,28


Q41. Mi organización está comprometida con la diversidad y la inclusión.
Answer Choices,Response Percent,Responses
Totalmente de acuerdo,5.74%,7
De acuerdo,36.07%,44
Ni de acuerdo ni en desacuerdo,33.61%,41
En desacuerdo,17.21%,21
Totalmente en desacuerdo,7.38%,9
,Answered,122
,Skipped,27


